iter	Passed	Remaining
0	161	7908
1	182	4385
2	206	3236
3	280	3225
4	354	3189
5	404	2965
6	446	2745
7	485	2549
8	507	2314
9	557	2229
10	571	2027
11	616	1951
12	636	1810
13	687	1768
14	713	1665
15	733	1557
16	746	1449
17	769	1368
18	789	1287
19	803	1205
20	820	1133
21	836	1064
22	851	999
23	866	938
24	879	879
25	897	828
26	917	781
27	940	738
28	976	707
29	995	663
30	1009	618
31	1029	579
32	1041	536
33	1061	499
34	1075	460
35	1093	425
36	1119	393
37	1134	358
38	1161	327
39	1182	295
40	1199	263
41	1227	233
42	1240	201
43	1258	171
44	1273	141
45	1292	112
46	1305	83
47	1326	55
48	1339	27
49	1358	0
